language,file,type,time
Haskell,sparse14.txt,Sparse,27.121941
C,sparse18.txt,Sparse,0.073626645
Haskell,sparse12.txt,Sparse,26.522183
C,dense10.txt,Dense,0.074956881
C,sparse17.txt,Sparse,0.075044172
Go,dense3.txt,Dense,1.540502272
Haskell,dense8.txt,Dense,43.682274
Go,sparse5.txt,Sparse,1.064874496
Go,dense2.txt,Dense,1.559492608
C,sparse1.txt,Sparse,0.073478071
Go,sparse15.txt,Sparse,1.064785664
Haskell,dense15.txt,Dense,42.427046
Haskell,sparse7.txt,Sparse,27.198354
C,sparse19.txt,Sparse,0.073959250
C,dense22.txt,Dense,0.077685007
Haskell,sparse22.txt,Sparse,27.274718
Go,sparse8.txt,Sparse,1.072067840
